,Destination latitude( deg N ),Destination longitudes( deg E ),Distance,Fare,Starting latitude( deg N),Starting longitude( deg E ),Timestamp,Total luggage weight,Traffic stuck time,Vehicle type,Wait time
71,12.932234,77.496317,36,504.34,13.115141,77.490926,2015-09-25 02:13:02,18.0,30,taxi ac,8.0
72,13.017054,80.222338,40,401.2,13.027865,80.244166,2015-03-05 10:27:56,10.0,32,Taxi Non AC,14.0
73,12.919534,80.23143,42,369.6,12.88586,80.165107,2015-05-03 18:56:12,,23,Auto rickshaw,
74,28.598978,77.155885,18,85.0,28.562077,77.024377,2015-06-09 22:49:45,,0,Mini Bus,
75,28.752155,77.070459,32,85.39,28.607673,77.10447,2015-10-19 20:42:53,,24,mini bus,
76,13.011355,77.520935,41,538.05,13.068168,77.542251,2015-08-20 11:29:55,17.0,62,taxi ac,12.0
77,19.230933,72.852085,14,261.07,19.155315,72.857565,2016-12-22 01:46:18,18.0,8,taxi non Ac,15.0
78,12.988098,80.252777,31,40.08,13.200759,80.171458,2015-09-15 08:45:40,,53,mini Bus,
79,28.613734,77.233733,31,62.13,28.713375,77.051137,2015-05-13 08:46:24,,29,bus,
80,25.296932,82.982142,37,94.83,25.365013,83.012502,2015-08-08 03:41:04,,38,Mini bus,
81,13.112618,80.195683,25,34.65,13.074331,80.250207,2015-07-08 12:16:58,,13,mini Bus,
82,22.737523,88.40005,30,32.8,22.518184,88.426637,2015-06-08 00:58:57,,28,metro,
83,12.958905,77.514687,39,298.35,12.890056,77.667167,2015-05-21 16:26:49,,7,Auto rickshaw,
84,13.079989,77.665834,46,36.83,12.863003,77.481476,2016-05-06 13:34:33,,48,metro,
85,12.854806,77.607366,29,354.37,12.898528,77.53899,2015-02-13 03:36:06,20.0,55,taxi Non ac,10.0
86,28.725775,77.215812,5,16.67,28.710799,77.203637,2015-05-17 01:41:33,,8,Metro,
87,13.03148,77.669259,41,33.29,12.925214,77.56306,2016-08-10 07:42:19,,0,Metro,
88,22.605895,88.388086,29,469.92,22.481264,88.412484,2015-05-07 07:24:23,19.0,10,taxi ac,9.0
89,13.043842,77.675222,39,34.97,13.026442,77.708423,2015-03-10 12:08:16,,70,metro,
90,28.655112,76.972571,36,63.94,28.686443,77.116911,2016-01-13 23:16:23,,12,metro,
91,22.561865,88.42551,46,47.05,22.698361,88.430376,2015-11-28 12:32:27,,32,AC bus,
92,22.539965,88.431295,18,51.0,22.488323,88.435696,2016-07-22 02:09:09,,25,mini bus,
93,19.227888,72.843239,7,26.22,19.218876,72.854134,2016-10-07 03:21:20,,1,bus,
94,19.053298,72.866943,43,54.44,19.165861,72.867584,2016-02-23 17:16:04,,65,Metro,
95,22.625936,88.380409,5,25.0,22.601332,88.380779,2016-10-11 17:29:07,,2,Mini Bus,
96,22.556665,88.375572,19,24.0,22.452849,88.383762,2015-10-16 21:48:55,,9,Metro,
97,13.031101,80.139681,26,26.04,13.109911,80.252705,2016-01-25 04:13:28,,5,bus,
98,13.066541,77.475019,40,51.25,13.069253,77.684934,2015-12-28 23:12:08,,25,Mini bus,
99,13.096021,77.533184,45,524.53,12.84823,77.514448,2016-03-22 07:59:52,22.0,40,taxi non ac,5.0
100,25.292044,83.011067,22,590.7,25.286315,83.009796,2015-03-18 23:11:54,17.0,11,Taxi AC,1.0
101,22.556617,88.407308,21,311.4,22.540037,88.440819,2015-01-15 19:37:03,4.0,14,Taxi AC,4.0
102,28.733785,76.991407,47,79.48,28.648736,77.082303,2016-12-28 09:50:52,,80,Ac Bus,
103,12.886071,80.209841,46,466.8,12.912933,80.21563,2015-05-07 16:46:23,16.0,52,Taxi non Ac,14.0
104,22.717408,88.428813,11,153.45,22.664337,88.43284,2016-09-21 04:56:21,26.0,14,Taxi non ac,4.0
105,19.250487,72.876719,39,717.2,19.12654,72.83957,2016-02-24 02:48:30,20.0,32,Taxi non ac,13.0
106,19.067099,72.859998,18,274.29,19.060544,72.846128,2016-06-07 00:51:27,,32,Auto Rickshaw,
107,13.000402,77.5338,34,409.53,12.884002,77.651118,2015-11-27 00:27:33,23.0,60,Taxi non ac,3.0
108,28.669309,76.983769,37,94.83,28.741837,77.100524,2015-05-15 19:54:52,,73,Mini bus,
109,25.330222,82.993986,47,69.06,25.344621,82.963838,2016-12-02 04:08:56,,65,Mini Bus,
110,25.31525,82.988398,39,842.5,25.343469,83.00887,2016-02-25 10:36:36,1.0,71,taxi non ac,7.0
111,22.59198,88.403075,44,41.67,22.568778,88.414157,2015-06-06 14:46:20,,9,metro,
112,12.885204,80.143746,44,387.2,12.885534,80.182593,2016-10-19 14:51:26,,47,Auto rickshaw,
113,13.08025,80.228178,21,20.8,12.926154,80.213086,2016-02-21 02:43:26,,34,Metro,
114,13.041473,80.243529,46,572.16,12.909994,80.211232,2015-03-10 19:54:45,7.0,90,Taxi AC,1.0
115,12.982146,80.19043,44,590.83,13.04648,80.1623,2016-12-03 21:27:06,9.0,62,Taxi AC,4.0
116,12.967331,77.469241,28,306.01,13.133288,77.553327,2016-04-26 23:37:21,,53,Auto rickshaw,
117,25.382215,83.01665,28,57.41,25.36042,83.01303,2016-02-07 22:54:50,,48,bus,
118,25.3697,82.962667,21,71.67,25.337324,83.019273,2015-05-22 14:54:43,,9,Bus,
119,12.94347,80.241251,47,26.19,13.198923,80.217993,2015-09-12 14:02:31,,67,bus,
120,22.61809,88.40276,49,653.4,22.590085,88.403171,2015-01-01 08:19:33,20.0,8,Taxi Non AC,7.0
121,25.282821,82.969039,38,942.0,25.30269,83.002203,2016-11-01 19:59:31,27.0,19,Taxi AC,14.0
122,22.736422,88.412373,18,54.0,22.665658,88.440178,2016-04-01 15:37:09,,16,ac bus,
123,22.593092,88.4043,48,45.0,22.650752,88.424977,2016-12-12 00:52:40,,86,metro,
124,19.172169,72.843918,48,64.42,19.239637,72.853557,2015-10-10 11:27:11,,50,AC Bus,
125,22.643483,88.386954,21,57.0,22.560543,88.436836,2015-03-26 08:54:19,,20,mini bus,
126,25.328768,82.984922,32,85.39,25.282888,83.003924,2016-11-25 01:00:33,,59,Mini bus,
127,13.032126,80.16498,39,47.33,13.004563,80.140291,2015-05-07 16:54:30,,23,mini bus,
128,22.517006,88.440016,49,679.8,22.589697,88.431857,2016-10-11 04:22:46,9.0,61,taxi Non ac,2.0
129,28.670611,77.215847,40,76.29,28.756266,76.963148,2015-08-02 02:59:25,,33,bus,
130,25.379495,83.006824,15,55.0,25.381578,83.017966,2016-02-04 08:20:18,,27,bus,
131,25.371049,83.00595,38,986.0,25.385879,82.99495,2016-08-27 09:39:48,18.0,64,Taxi AC,13.0
132,13.203387,80.237019,44,24.93,12.931991,80.216494,2015-07-10 12:24:10,,32,Bus,
133,19.117498,72.859117,29,497.15,19.136562,72.862638,2015-11-22 01:19:12,,49,Auto rickshaw,
134,28.656814,77.162328,40,100.49,28.601058,77.099789,2016-01-16 14:15:17,,72,Mini Bus,
135,19.145491,72.86362,33,52.22,19.015319,72.853982,2016-01-10 14:25:13,,3,bus,
136,22.5116,88.418075,49,770.02,22.617452,88.377731,2016-12-14 07:46:06,,48,AUTO RICKSHAW,
137,25.360973,82.974491,45,970.83,25.27348,82.973123,2015-08-08 17:12:25,17.0,80,taxi Non ac,8.0
138,19.101509,72.866016,24,60.27,19.133494,72.875026,2015-09-08 18:53:02,,8,Ac Bus,
139,12.998586,80.167176,15,153.2,13.098673,80.137643,2015-10-28 15:05:28,3.0,24,taxi non ac,2.0
140,25.32556,83.018039,39,98.6,25.384137,83.022292,2015-07-26 05:25:05,,12,mini Bus,
141,13.121701,77.523243,24,26.07,12.984371,77.462677,2015-01-28 22:38:59,,6,Bus,
142,13.043704,80.199432,25,37.07,13.070065,80.205503,2016-07-04 18:54:35,,17,Ac Bus,
143,25.314145,82.998417,11,61.67,25.337486,83.014512,2016-01-20 15:49:02,,16,Mini Bus,
144,22.534635,88.417936,19,24.0,22.469098,88.425313,2016-05-02 18:43:14,,10,Metro,
145,25.288867,82.991063,15,401.5,25.30288,82.966937,2015-04-02 04:31:22,27.0,1,taxi ac,7.0
146,25.29721,83.00954,12,65.0,25.388878,83.013026,2016-01-22 05:33:24,,18,Mini bus,
147,22.48449,88.450114,30,415.8,22.725544,88.410261,2015-11-24 00:20:08,6.0,25,Taxi non ac,14.0
148,19.13992,72.846834,10,20.0,19.127849,72.856845,2015-01-26 16:29:32,,9,metro,
149,13.049859,80.16717,46,32.7,12.913049,80.186865,2016-12-06 12:58:12,,16,mini bus,
150,25.324899,82.97786,19,253.33,25.384233,82.963189,2016-12-05 10:47:56,,4,auto rickshaw,
151,28.570907,77.013281,27,679.0,28.593125,77.030116,2015-01-07 15:36:34,19.0,21,Taxi AC,13.0
152,22.475923,88.41297,5,25.0,22.487542,88.420224,2016-03-20 10:16:11,,9,mini bus,
153,22.709217,88.431692,29,50.87,22.470454,88.394727,2015-12-22 01:19:15,,13,AC Bus,
154,12.959345,77.590594,34,392.7,12.983555,77.463356,2015-06-02 00:15:48,8.0,14,Taxi Non AC,13.0
155,22.687923,88.417375,18,54.0,22.728277,88.446113,2016-01-11 00:10:59,,16,AC bus,
156,28.7238,77.17264,48,80.53,28.575456,77.185976,2016-01-08 23:19:43,,37,Ac Bus,
157,25.339888,83.023805,14,367.0,25.312716,82.966751,2015-02-12 17:12:20,10.0,22,Taxi AC,12.0
158,28.734707,77.101555,22,98.33,28.593414,76.998188,2016-07-24 16:57:23,,20,mini bus,
159,19.184639,72.844353,34,641.67,19.133241,72.878169,2015-05-08 05:37:54,17.0,49,taxi Non Ac,13.0
160,25.287164,82.998399,27,55.83,25.297703,83.001084,2016-01-12 13:06:51,,2,bus,
161,13.03911,80.221741,48,36.0,13.172357,80.2153,2016-12-12 14:08:32,,30,Metro,
162,19.134867,72.849119,38,661.33,19.014998,72.843317,2015-11-10 10:20:31,6.0,69,Taxi Non AC,14.0
163,25.359779,82.981001,13,285.0,25.291735,82.983441,2015-05-17 17:24:56,23.0,22,taxi Non Ac,11.0
164,28.60588,76.976373,46,72.22,28.717117,77.215253,2015-04-09 15:36:45,,43,metro,
165,22.606424,88.375868,41,39.17,22.507767,88.38203,2016-04-24 11:37:17,,56,Metro,
166,19.243223,72.837568,27,64.8,19.053245,72.84745,2015-10-03 22:07:27,,14,AC Bus,
167,28.588305,77.110668,37,1035.1,28.769274,77.111898,2015-10-24 01:19:41,8.0,39,Taxi AC,17.0
168,22.668402,88.448753,32,397.5,22.618814,88.414787,2015-03-03 19:24:10,15.0,23,Taxi Non AC,7.0
169,25.302737,83.023677,17,442.0,25.260714,82.98532,2015-10-17 12:26:39,9.0,30,taxi ac,7.0
170,22.622322,88.389343,37,446.0,22.685171,88.407816,2016-07-01 14:17:07,10.0,2,Taxi Non AC,5.0
171,12.986023,80.246703,30,308.58,12.90989,80.154732,2015-03-02 08:24:10,,52,Auto Rickshaw,
172,13.151977,80.163401,40,532.75,12.919267,80.155522,2015-01-18 05:51:52,1.0,33,Taxi AC,19.0
173,13.152029,80.146288,47,33.15,13.191091,80.189623,2016-03-21 16:37:08,,40,Mini bus,
174,12.903227,77.599932,29,40.66,13.054216,77.470235,2015-01-12 14:56:57,,48,mini bus,
175,28.607634,77.070676,25,46.95,28.614486,77.051515,2015-11-02 13:35:35,,22,metro,
176,25.313167,82.975047,12,228.58,25.309269,82.967376,2016-01-04 08:13:01,,11,AUTO RICKSHAW,
177,12.975219,77.547235,29,316.93,13.002653,77.601686,2016-01-15 01:48:29,,7,auto rickshaw,
178,28.614701,76.967856,26,641.0,28.617566,76.990582,2015-02-02 18:07:09,5.0,1,taxi ac,19.0
179,12.932597,77.71465,48,28.27,12.909882,77.536926,2015-12-13 18:23:41,,31,bus,
180,13.011636,80.149738,36,44.61,12.993992,80.189048,2015-01-13 16:41:05,,26,Mini Bus,
181,25.383255,83.012587,15,352.92,25.352304,83.01304,2015-12-12 05:39:10,19.0,21,Taxi Non AC,7.0
182,13.124089,77.497031,36,35.7,12.889081,77.614821,2015-06-28 23:25:35,,29,bus,
183,12.888184,77.658697,41,25.14,12.8496,77.477866,2016-10-27 14:35:01,,54,Bus,
184,22.696832,88.38891,27,48.6,22.619872,88.41813,2016-05-23 20:13:16,,24,AC bus,
185,19.251702,72.859047,49,718.67,19.140447,72.84373,2015-02-12 18:40:10,,44,auto rickshaw,
186,13.01776,77.496219,39,38.11,13.033966,77.667691,2015-05-26 20:54:41,,20,Bus,
187,12.955036,80.21062,35,410.4,13.159079,80.229798,2016-07-22 09:23:48,22.0,11,Taxi AC,7.0
188,22.6981,88.397275,34,36.51,22.717914,88.397935,2016-01-17 11:07:37,,43,Metro,
189,28.7631,77.23388,42,74.21,28.588838,77.065608,2016-12-28 08:45:51,,80,Ac Bus,
190,28.657373,77.058817,29,53.12,28.598094,77.136391,2015-03-10 19:26:28,,1,metro,
191,12.968414,77.518783,35,31.82,12.934715,77.459958,2015-10-24 05:18:35,,28,metro,
192,13.070334,80.155998,47,35.33,13.199343,80.246607,2016-09-14 18:08:55,,90,metro,
193,,,42,38.63,,,2016-01-04 04:13:38,,63,Mini Bus,
194,19.248509,72.847728,27,64.8,19.020909,72.836275,2016-11-10 04:46:12,,39,AC bus,
195,19.105816,72.867379,17,381.04,19.206609,72.868527,2016-07-14 23:27:29,25.0,25,Taxi AC,3.0
196,22.694493,88.444256,10,38.0,22.712093,88.392903,2016-07-19 11:03:36,,13,Ac Bus,
197,19.167113,72.877002,30,69.33,19.149915,72.847719,2015-05-14 18:14:06,,35,Ac Bus,
198,19.054442,72.852541,37,75.86,19.23238,72.876141,2015-06-27 20:52:08,,50,mini bus,
199,12.957212,80.15279,22,225.2,12.938176,80.198775,2015-09-28 18:23:27,8.0,36,taxi non Ac,2.0
200,28.661989,77.083486,34,728.59,28.697205,77.145925,2015-01-06 04:26:11,,20,auto rickshaw,
201,19.210417,72.850277,34,48.68,19.165122,72.85781,2015-02-20 23:43:12,,8,metro,
202,25.260607,83.00626,28,593.33,25.386922,82.986422,2015-04-12 15:37:21,4.0,33,Taxi Non AC,10.0
203,25.376906,82.993734,44,1050.5,25.360406,83.000843,2016-12-03 21:24:56,26.0,85,Taxi non Ac,8.0
204,22.566327,88.421274,9,127.05,22.529391,88.452052,2015-10-14 02:24:36,13.0,7,taxi non ac,11.0
205,25.301309,82.986621,22,470.83,25.332841,82.991747,2016-02-21 14:38:40,27.0,37,Taxi Non AC,3.0
206,28.665242,77.149938,30,60.55,28.685914,77.092744,2015-03-26 05:36:32,,54,Bus,
207,19.096419,72.874968,44,41.54,19.110996,72.879437,2015-04-22 15:11:10,,39,bus,
208,19.105145,72.858859,28,556.8,19.136934,72.840855,2016-10-13 19:29:36,3.0,22,taxi ac,5.0
209,19.195213,72.879285,9,44.0,19.254286,72.878448,2016-10-22 04:59:04,,11,mini bus,
210,22.527517,88.381219,23,29.72,22.496355,88.412343,2015-12-15 00:04:42,,44,Bus,
211,12.912101,80.174993,21,48.0,13.079711,80.200046,2015-03-09 04:29:27,,25,AC Bus,
212,13.094973,77.697134,49,36.18,12.865268,77.712789,2015-06-24 02:38:04,,54,Mini bus,
213,19.078801,72.872313,40,56.09,19.14633,72.852453,2015-04-07 15:12:06,,35,metro,
214,12.846645,77.709454,44,33.79,12.909144,77.612677,2016-05-12 13:30:41,,28,Mini Bus,
215,19.022263,72.839892,21,57.33,19.086336,72.847385,2015-10-27 01:13:23,,25,Bus,
216,28.697822,77.102886,13,30.0,28.759421,77.03371,2015-05-11 09:22:08,,10,metro,
217,22.60657,88.411427,9,102.86,22.562165,88.430387,2016-06-02 04:11:03,,5,AUTO RICKSHAW,
218,13.120024,80.132794,36,47.04,12.995536,80.223626,2015-07-02 06:21:07,,39,ac bus,
219,19.058727,72.849248,16,266.67,19.033689,72.873774,2015-02-01 17:01:59,8.0,9,taxi Non Ac,10.0
220,25.387476,82.982929,35,788.33,25.328676,82.988165,2016-09-06 04:36:39,2.0,16,Taxi non ac,7.0
221,12.917267,77.715108,42,32.83,13.030109,77.527845,2015-05-25 03:58:45,,66,mini bus,
222,19.187564,72.882465,41,39.44,19.070825,72.843888,2016-01-13 00:46:51,,0,bus,
223,12.859075,77.562426,24,183.6,12.918,77.527795,2015-02-02 09:13:55,,6,auto rickshaw,
224,12.941771,80.171661,15,208.03,12.993906,80.16997,2016-03-24 02:19:57,29.0,20,taxi ac,17.0
225,22.607203,88.37788,19,322.74,22.469754,88.379285,2016-04-17 22:44:35,25.0,19,taxi ac,17.0
226,19.170904,72.859052,11,227.2,19.180535,72.840552,2015-10-18 17:28:49,10.0,16,taxi ac,7.0
227,13.202,80.245567,41,563.9,12.902611,80.215429,2015-02-06 06:44:39,25.0,74,taxi ac,13.0
228,28.556387,77.131549,25,77.22,28.703996,77.071472,2016-09-02 03:33:45,,0,ac bus,
229,19.214229,72.883555,10,50.67,19.224422,72.855418,2016-11-26 05:50:16,,10,ac bus,
230,25.349112,82.979825,40,100.49,25.367451,83.013473,2015-11-20 07:50:19,,58,Mini Bus,
231,19.121069,72.854182,15,64.0,19.039902,72.871083,2016-05-15 16:11:33,,21,AC bus,
232,25.26306,82.990309,16,83.33,25.366893,82.973596,2016-09-10 16:15:00,,22,AC bus,
233,22.480327,88.396593,23,295.72,22.623918,88.394754,2015-04-18 05:03:17,,15,Auto rickshaw,
234,22.658773,88.433622,46,43.33,22.646179,88.402045,2016-05-21 03:10:55,,5,Metro,
235,28.649908,77.099845,38,101.78,28.753662,76.994018,2015-12-14 03:36:37,,24,Ac Bus,
236,13.197256,80.238596,28,27.55,13.000835,80.21646,2016-11-23 02:16:32,,37,Bus,
237,22.574722,88.422562,41,451.0,22.452208,88.42667,2016-12-13 16:29:06,,40,auto rickshaw,
238,19.040833,72.88227,42,880.02,19.130668,72.854629,2015-09-04 01:37:47,,69,Auto rickshaw,
239,28.73011,77.067078,39,971.0,28.588924,77.216919,2016-07-24 09:06:38,6.0,37,Taxi AC,1.0
240,13.114234,77.710091,46,430.1,13.095058,77.627728,2016-05-24 17:15:36,,73,auto rickshaw,
241,25.376241,82.992007,39,1092.3,25.370948,82.994469,2015-04-02 22:27:38,20.0,50,taxi ac,10.0
242,12.921723,77.564845,30,30.88,12.920775,77.700326,2016-09-14 09:54:15,,23,bus,
243,19.231629,72.884259,23,39.63,19.060465,72.88106,2015-12-17 10:21:06,,15,bus,
244,25.317224,83.01297,23,614.9,25.301787,83.021673,2015-09-01 00:34:38,28.0,4,taxi ac,6.0
245,22.617304,88.437151,19,316.14,22.499533,88.378022,2016-12-26 00:10:34,27.0,21,taxi ac,5.0
246,19.18905,72.865055,26,63.29,19.243611,72.867328,2016-03-27 03:45:37,,23,Ac Bus,
247,12.849975,77.642231,48,38.25,13.009502,77.495185,2016-12-28 20:55:44,,40,metro,
248,12.884451,80.218342,44,36.63,13.207491,80.17899,2016-08-16 09:14:55,,65,Ac Bus,
249,22.738042,88.396161,30,52.0,22.707132,88.44679,2015-12-10 22:37:36,,17,AC bus,
250,25.294548,83.005726,24,51.11,25.356853,83.015025,2015-06-20 05:53:16,,45,Bus,
251,25.307155,82.962563,15,75.0,,,2015-09-27 21:25:05,,1,mini bus,
252,13.118907,80.135411,39,47.33,13.107288,80.210234,2016-01-17 09:24:10,,18,mini Bus,
253,28.711619,77.159607,49,70.94,28.640401,77.180063,2015-05-26 15:20:58,,69,mini bus,
254,22.660141,88.443585,8,123.0,22.721048,88.43017,2015-05-22 19:22:31,4.0,12,Taxi AC,4.0
255,19.208021,72.867048,29,576.8,19.214951,72.872182,2016-07-24 10:45:37,23.0,10,Taxi AC,18.0
256,12.960133,80.143728,13,151.68,12.973795,80.149544,2015-01-26 15:48:24,24.0,7,Taxi AC,0.0
257,19.118013,72.854699,48,1005.73,19.247784,72.879209,2016-01-10 00:47:27,,12,Auto rickshaw,
258,13.062467,77.482503,47,35.22,12.882964,77.700521,2016-09-20 19:07:40,,53,mini bus,
259,28.655556,77.020754,35,779.17,28.711751,77.139702,2015-01-20 00:17:24,17.0,3,taxi non Ac,10.0
260,25.387383,83.002309,14,71.67,25.320267,82.987157,2015-02-10 02:24:10,,10,mini Bus,
