,FARE
415,40.66
416,29.47
417,121.91
418,28.17
419,53.33
420,45.9
421,375.65
422,34.44
423,805.2
424,74.07
425,11.9
426,523.0
427,60.0
428,32.49
429,194.67
430,795.0
431,48.85
432,1047.64
433,106.86
434,37.36
435,468.35
436,705.1
437,61.07
438,49.7
439,31.87
440,366.96
441,63.7
442,361.6
443,400.5
444,600.01
445,381.6
446,63.94
447,49.73
448,35.62
449,493.2
450,46.95
451,30.1
452,440.8
453,30.08
454,141.95
455,45.16
456,21.07
457,30.0
458,155.43
459,39.17
460,68.0
461,39.44
462,36.77
463,484.0
464,374.0
465,404.8
466,129.2
467,103.33
468,300.0
469,58.53
470,44.2
471,58.33
472,325.42
473,34.35
474,44.44
475,488.58
476,48.33
477,621.44
478,24.69
479,74.07
480,35.33
481,492.8
482,77.84
483,506.5
484,41.6
485,61.67
486,32.74
487,43.24
488,412.5
489,221.67
490,68.13
491,61.33
492,71.33
493,26.98
494,514.3
495,31.68
496,172.8
497,35.12
498,22.67
499,29.55
500,69.82
501,460.17
502,481.67
503,65.28
504,53.68
505,68.4
506,82.89
507,570.0
508,38.06
509,557.15
510,575.67
511,41.65
512,294.8
513,299.88
514,26.87
515,484.2
516,942.5
517,46.95
518,283.05
519,41.54
520,619.9
521,553.0
522,41.54
523,475.72
524,512.55
525,31.82
526,43.89
527,36.12
528,245.52
529,43.24
530,44.61
531,67.19
532,404.8
533,43.26
534,382.08
535,60.0
536,43.24
537,333.33
538,39.79
539,46.95
540,600.0
541,41.33
542,101.78
543,65.0
544,601.08
545,261.5
546,86.67
547,29.07
548,371.58
549,865.92
550,54.44
551,30.88
552,46.13
553,37.97
554,43.55
555,473.28
556,31.35
557,267.43
558,56.23
559,38.03
560,192.0
561,37.5
562,34.35
563,44.17
564,55.0
565,43.33
566,75.95
567,54.56
568,31.68
569,61.56
570,60.0
571,34.0
572,39.79
573,37.85
574,94.83
575,499.58
576,35.85
577,42.5
578,55.83
579,40.69
580,687.5
581,33.15
582,57.41
583,621.44
584,498.43
585,400.18
586,38.33
587,899.07
588,419.22
589,34.4
590,79.48
591,803.44
592,45.2
593,39.29
594,25.5
595,31.03
596,689.33
597,54.67
598,1037.67
599,33.39
600,390.0
601,462.87
602,23.24
603,66.11
604,923.12
605,79.11
606,512.4
607,309.6
608,47.6
609,21.79
610,76.8
611,472.36
612,56.21
613,29.33
614,38.15
615,25.14
616,93.33
617,394.29
618,39.19
619,266.47
620,272.64
621,33.07
622,1095.42
623,527.4
624,27.67
625,62.5
626,525.0
627,174.86
628,529.2
629,555.5
630,33.31
631,90.0
632,360.0
633,40.66
634,45.52
635,666.0
636,43.9
637,919.42
638,70.84
639,231.69
640,64.0
641,24.5
642,52.22
643,96.67
644,115.2
645,399.7
646,57.33
647,51.91
648,49.32
649,83.33
650,694.8
651,363.63
652,50.03
653,47.18
654,270.83
655,48.36
656,54.0
657,32.3
658,470.58
659,48.42
660,932.8
661,616.0
662,23.28
663,267.43
664,171.43
665,54.72
666,41.65
667,175.95
668,76.32
669,118.4
670,41.78
671,422.0
672,780.0
673,30.63
674,738.0
675,25.35
676,43.55
677,277.72
678,808.0
679,46.42
680,605.62
681,267.75
682,384.0
683,28.31
684,634.4
685,182.86
686,332.2
687,670.0
688,35.42
689,156.0
690,602.4
691,460.7
692,58.89
693,46.42
694,359.33
695,790.83
696,21.25
697,65.33
698,277.2
699,53.13
700,47.44
701,65.33
702,492.28
703,560.64
704,47.09
705,558.0
706,68.42
707,50.03
708,31.33
709,77.33
710,32.83
711,375.0
712,37.64
713,41.67
714,30.67
715,30.45
716,54.27
717,33.31
718,62.5
719,41.6
720,461.33
721,377.2
722,338.79
723,88.55
724,292.16
725,100.0
726,49.32
727,49.54
728,474.61
729,122.88
730,36.13
731,266.67
732,751.67
733,30.58
734,136.0
735,420.75
736,36.63
737,68.31
738,594.92
739,76.32
740,557.15
741,27.0
742,567.5
743,40.0
744,35.7
745,33.31
746,614.17
747,19.2
748,405.0
749,37.64
750,26.67
751,64.0
752,150.15
753,76.32
754,840.58
755,631.4
756,37.5
757,63.44
758,40.8
759,43.24
760,346.67
761,627.8
762,685.73
763,46.42
764,47.09
765,728.59
766,75.38
767,31.68
768,689.33
769,50.1
770,489.72
771,101.78
772,309.83
773,583.2
774,35.58
775,252.0
776,37.97
777,58.8
778,69.33
779,31.8
780,75.38
781,375.0
782,41.11
783,30.24
784,253.33
785,177.83
786,36.12
787,92.33
788,61.78
789,44.61
790,616.92
791,72.22
792,265.2
793,33.5
794,32.0
795,22.67
796,198.1
797,62.5
798,32.17
799,280.5
800,50.03
801,338.79
802,247.62
803,21.6
804,820.0
805,51.91
806,32.55
807,65.0
808,46.42
809,76.32
810,34.65
811,485.47
812,664.3
813,37.31
814,1179.0
815,484.93
816,26.63
817,760.32
818,630.0
819,157.67
820,280.83
821,811.07
822,79.11
823,554.4
824,94.83
825,336.0
826,23.73
827,71.57
828,75.26
829,47.95
830,52.0
831,42.63
832,42.4
833,349.72
834,54.5
835,590.83
836,69.44
837,1126.4
838,60.56
839,42.0
840,260.16
841,22.82
842,58.53
843,333.5
844,295.72
845,984.78
846,25.14
847,63.33
848,43.26
849,56.84
850,420.0
851,55.11
852,754.6
853,61.67
854,632.67
855,64.38
856,79.73
857,320.0
858,73.33
859,225.0
860,164.57
861,280.8
862,551.5
863,424.29
864,56.0
865,30.67
866,29.46
867,83.33
868,361.38
869,31.35
870,510.0
871,45.23
872,34.27
873,282.63
874,324.82
875,69.44
876,18.4
877,44.17
878,535.73
879,40.84
880,54.27
881,33.6
882,46.13
883,44.0
884,195.25
885,370.0
886,30.08
887,43.0
888,217.2
889,62.39
890,52.22
891,467.04
892,584.1
893,49.7
894,51.0
895,44.67
896,616.0
897,55.11
898,45.2
899,858.4
900,45.79
901,405.35
902,128.0
903,51.91
904,20.8
905,40.0
906,44.2
907,63.58
908,760.98
909,48.68
910,484.0
911,400.4
912,34.67
913,353.6
914,305.33
915,31.88
916,58.03
917,621.67
918,99.89
919,72.35
920,91.67
921,957.5
922,485.1
923,54.67
924,36.94
925,43.41
926,607.75
927,53.75
928,34.74
929,174.5
930,172.8
931,1073.83
932,400.01
933,24.08
934,32.0
935,11.05
936,661.33
937,27.72
938,26.24
939,63.7
940,228.65
941,41.6
942,831.67
943,894.96
944,42.24
945,30.1
946,601.33
947,946.0
948,52.68
949,213.72
950,230.4
951,419.06
952,1268.3
953,138.16
954,105.6
955,32.3
956,74.07
957,49.3
958,35.22
959,755.7
960,728.59
961,281.33
962,37.5
963,464.16
964,26.19
965,33.79
966,634.3
967,60.56
968,38.0
969,39.17
970,1204.79
971,244.2
972,39.75
973,46.95
974,66.66
975,562.1
976,259.05
977,15.0
978,393.5
979,1039.5
980,39.67
981,25.33
982,75.0
983,50.0
984,371.02
985,39.75
986,48.33
987,68.42
988,18.0
989,46.44
990,31.88
991,913.92
992,26.63
993,47.54
994,44.0
995,41.89
996,72.11
997,92.33
998,106.67
999,51.05
1000,79.48
1001,392.7
1002,26.0
1003,32.74
1004,520.94
1005,776.8
1006,656.33
1007,406.16
1008,33.31
1009,262.65
1010,30.0
1011,38.22
1012,57.69
1013,286.4
1014,73.44
1015,740.67
1016,52.68
1017,906.4
1018,1065.17
1019,31.4
1020,40.08
1021,77.22
1022,231.2
1023,1073.83
1024,52.25
1025,54.67
1026,93.33
1027,291.98
1028,71.67
1029,45.4
1030,231.79
1031,40.84
1032,825.0
1033,85.39
1034,74.67
1035,592.5
1036,240.0
1037,48.68
1038,70.4
1039,34.4
1040,24.76
1041,452.4
1042,29.28
1043,39.44
1044,38.38
1045,22.82
1046,67.82
1047,273.6
1048,374.0
1049,814.92
1050,267.43
1051,27.83
1052,667.59
1053,155.83
1054,55.0
1055,190.08
1056,55.4
1057,248.16
1058,786.0
1059,47.54
1060,411.44
1061,62.74
1062,32.67
1063,134.4
1064,260.92
1065,914.1
1066,40.0
1067,220.32
1068,383.0
1069,405.0
1070,44.0
1071,26.0
1072,46.42
1073,984.78
1074,25.52
1075,400.8
1076,44.67
1077,61.33
1078,44.51
1079,452.16
1080,514.3
1081,280.67
1082,23.66
1083,187.44
1084,266.75
1085,58.53
1086,72.35
1087,342.65
1088,49.54
1089,71.33
1090,32.3
1091,429.92
1092,583.0
1093,31.35
1094,69.06
1095,50.03
1096,44.51
1097,349.8
1098,21.05
1099,444.4
1100,42.59
1101,266.67
1102,24.44
1103,78.42
1104,1034.0
1105,316.93
1106,1002.83
1107,320.0
1108,35.12
1109,30.58
1110,81.67
1111,39.56
1112,96.11
1113,46.42
1114,45.47
1115,29.33
1116,65.31
1117,386.0
1118,59.25
1119,46.42
1120,47.2
1121,42.5
1122,885.83
1123,814.3
1124,983.0
1125,627.8
1126,204.76
1127,26.63
1128,502.1
1129,488.5
1130,417.78
1131,219.2
1132,38.88
1133,51.11
1134,25.0
1135,83.2
1136,52.22
1137,340.56
1138,237.66
1139,36.67
1140,817.0
1141,33.39
1142,40.0
1143,29.21
1144,82.89
1145,182.86
1146,421.6
1147,33.73
1148,30.67
1149,869.0
1150,56.0
1151,53.12
1152,295.08
1153,49.32
1154,36.46
1155,45.4
1156,333.6
1157,226.67
1158,54.0
1159,63.33
1160,100.0
1161,377.28
1162,19.55
1163,74.07
1164,666.67
1165,48.33
1166,36.77
1167,433.09
1168,532.4
1169,43.7
1170,57.33
1171,44.53
1172,788.33
1173,354.2
1174,30.24
1175,617.16
1176,32.21
1177,970.0
1178,283.36
1179,143.92
1180,52.37
1181,56.23
1182,100.0
1183,71.05
1184,432.43
1185,343.2
1186,309.6
1187,29.46
1188,497.38
1189,22.67
1190,86.67
1191,36.32
1192,463.0
1193,51.11
1194,43.89
1195,312.0
1196,24.02
1197,257.5
1198,40.08
1199,256.96
1200,43.73
1201,595.2
1202,825.0
1203,69.06
1204,865.6
1205,722.87
1206,302.0
1207,26.04
1208,41.6
1209,788.33
1210,45.16
1211,33.39
1212,565.4
1213,41.67
1214,67.19
1215,30.0
1216,94.83
1217,1072.0
1218,96.71
1219,26.31
1220,344.8
1221,31.43
1222,45.4
1223,40.0
1224,138.16
1225,327.6
1226,26.87
1227,86.67
1228,334.29
1229,100.0
1230,704.17
1231,987.25
1232,48.45
1233,29.95
1234,445.72
1235,26.31
1236,62.0
1237,88.33
1238,1100.02
1239,30.95
1240,622.2
1241,192.67
1242,270.0
1243,326.48
1244,1169.0
1245,63.33
1246,30.6
1247,36.55
1248,416.67
1249,41.11
1250,41.26
1251,58.52
1252,346.8
1253,68.13
1254,67.02
1255,555.83
1256,91.67
1257,750.02
1258,465.12
1259,300.83
1260,67.82
1261,678.33
1262,228.58
1263,172.8
1264,266.67
1265,524.33
1266,517.0
1267,1019.33
1268,36.12
1269,57.41
1270,35.42
1271,55.0
1272,51.93
1273,29.55
1274,74.45
1275,74.35
1276,49.02
1277,322.5
1278,46.13
1279,63.58
1280,42.15
1281,135.3
1282,448.8
1283,32.55
1284,36.63
1285,36.32
1286,61.05
1287,814.3
1288,17.33
1289,312.8
1290,424.15
1291,349.35
1292,38.36
1293,40.14
1294,48.68
1295,37.56
1296,284.64
1297,426.67
1298,643.47
1299,182.86
1300,514.3
1301,63.89
1302,266.47
1303,597.6
1304,101.78
1305,62.0
1306,411.44
1307,616.2
1308,83.5
1309,86.67
1310,21.79
1311,48.44
1312,1260.6
1313,45.52
1314,38.33
1315,30.02
1316,38.74
1317,39.95
1318,609.33
1319,770.0
1320,66.11
1321,63.33
1322,96.71
1323,406.56
1324,54.5
1325,70.83
1326,392.7
1327,47.6
1328,79.11
1329,298.67
1330,711.0
1331,196.02
1332,29.09
1333,53.62
1334,596.75
1335,525.0
1336,71.33
1337,37.31
1338,963.83
1339,327.36
1340,479.42
1341,467.28
1342,60.0
1343,52.0
1344,453.01
1345,99.86
1346,535.0
1347,80.0
1348,42.5
1349,54.56
1350,50.17
1351,259.2
1352,29.72
1353,32.61
1354,522.5
1355,644.16
1356,17.85
1357,38.06
1358,413.6
1359,42.63
1360,323.82
1361,72.11
1362,900.97
1363,456.28
1364,39.29
1365,570.0
1366,29.21
1367,392.7
1368,323.2
1369,85.39
1370,424.29
1371,48.36
1372,52.37
1373,47.69
1374,31.88
1375,46.7
1376,814.17
1377,37.46
1378,59.25
1379,31.33
1380,658.9
1381,31.03
1382,511.5
1383,40.21
1384,25.22
1385,43.41
1386,36.12
1387,57.76
1388,94.83
1389,103.33
1390,75.0
1391,205.04
1392,51.05
1393,41.05
1394,190.74
1395,35.33
1396,1073.83
1397,51.11
1398,387.2
1399,26.67
1400,38.33
1401,913.92
1402,39.17
1403,257.15
1404,61.67
1405,49.54
1406,31.35
1407,63.33
1408,966.0
1409,700.7
1410,477.84
1411,60.76
1412,21.79
1413,216.0
1414,32.67
1415,34.35
1416,79.73
1417,65.28
1418,50.67
1419,115.2
1420,564.67
1421,312.96
1422,35.0
1423,194.4
1424,82.89
1425,45.47
1426,98.0
1427,558.45
1428,406.73
1429,43.7
1430,18.0
1431,70.0
1432,384.08
1433,94.83
1434,25.52
1435,421.52
1436,209.95
1437,36.32
1438,751.67
1439,37.28
1440,53.12
1441,738.0
1442,37.07
1443,66.66
1444,82.89
1445,194.29
1446,23.0
1447,446.93
1448,90.0
1449,364.65
1450,442.8
1451,64.0
1452,664.3
1453,393.6
1454,61.67
1455,887.0
1456,35.22
1457,724.68
1458,295.46
1459,40.11
1460,29.28
1461,258.5
1462,75.26
1463,1073.83
1464,497.2
1465,470.0
1466,41.62
1467,45.2
1468,52.25
1469,32.0
1470,47.54
1471,51.93
1472,41.31
1473,51.2
1474,252.0
1475,54.5
1476,486.2
1477,31.33
1478,52.68
1479,460.83
1480,1139.0
1481,577.5
1482,55.76
1483,72.11
1484,435.0
1485,96.11
1486,1273.8
1487,213.33
1488,409.5
1489,617.1
1490,30.9
1491,30.9
1492,34.65
1493,28.05
1494,390.86
1495,63.33
1496,42.63
1497,19.2
1498,66.8
1499,631.58
1500,184.58
1501,36.51
1502,335.13
1503,205.48
1504,308.16
1505,39.7
1506,565.73
1507,34.74
1508,671.0
1509,53.68
1510,1151.0
1511,69.82
1512,70.84
1513,112.0
1514,58.52
1515,691.44
1516,674.52
1517,44.67
1518,436.7
1519,575.67
1520,57.33
1521,36.0
1522,418.2
1523,738.59
1524,29.21
1525,89.6
1526,81.0
1527,32.83
1528,43.65
1529,39.7
1530,564.96
1531,73.87
1532,1044.0
1533,38.38
1534,104.0
1535,322.4
1536,280.0
1537,317.68
1538,95.0
1539,419.47
1540,43.33
1541,435.36
1542,52.25
1543,55.25
1544,31.87
1545,33.31
1546,78.4
1547,362.12
1548,69.06
1549,62.5
1550,51.11
1551,67.19
1552,32.84
1553,24.73
1554,433.0
1555,32.7
1556,1023.0
1557,740.3
1558,42.24
1559,56.66
1560,234.0
1561,176.0
1562,75.26
1563,65.48
1564,37.64
1565,35.73
1566,73.15
1567,38.4
1568,26.07
1569,203.57
1570,36.5
1571,37.07
1572,290.7
1573,59.93
1574,27.24
1575,324.5
1576,23.73
1577,31.4
1578,60.21
1579,72.11
1580,96.67
1581,260.87
1582,96.11
1583,122.76
1584,225.0
1585,788.33
1586,295.38
1587,387.2
1588,939.17
1589,61.67
1590,74.67
1591,103.33
1592,26.48
1593,45.57
1594,73.87
1595,13.33
1596,54.67
1597,36.0
1598,140.8
1599,21.33
1600,66.67
1601,45.79
1602,45.16
1603,38.74
1604,52.81
1605,61.33
1606,429.44
1607,591.8
1608,31.88
1609,44.17
1610,18.7
1611,19.2
1612,285.18
1613,788.33
1614,39.46
1615,413.6
1616,360.82
1617,535.73
1618,247.4
1619,26.31
1620,22.82
1621,48.05
1622,30.88
1623,345.6
1624,279.17
1625,510.0
1626,375.83
1627,41.31
1628,733.33
1629,34.74
1630,35.11
1631,72.18
1632,120.0
1633,175.12
1634,54.56
1635,36.83
1636,46.13
1637,48.49
1638,60.55
1639,35.62
1640,49.6
1641,30.02
1642,333.0
1643,361.91
1644,46.44
1645,27.0
1646,38.88
1647,66.67
1648,201.6
1649,721.0
1650,193.38
1651,284.4
1652,31.88
1653,114.29
1654,32.61
1655,35.0
1656,1178.6
1657,930.42
1658,31.03
1659,96.11
1660,33.15
1661,79.91
1662,38.33
1663,42.51
1664,90.44
1665,50.03
1666,35.2
1667,32.0
1668,68.33
1669,432.99
1670,279.22
1671,62.5
1672,12.8
1673,577.5
1674,31.88
1675,567.6
1676,25.5
1677,56.0
1678,704.0
1679,21.05
1680,44.07
1681,49.33
1682,40.0
1683,40.53
1684,96.11
1685,531.44
1686,810.4
1687,880.02
1688,71.57
1689,983.84
1690,103.33
1691,42.24
1692,750.02
1693,304.77
1694,623.33
1695,809.6
1696,252.0
1697,29.09
1698,814.3
1699,95.0
1700,68.0
1701,92.94
1702,20.8
1703,67.19
1704,380.58
1705,26.33
1706,371.25
1707,25.59
1708,190.48
1709,753.13
1710,409.2
1711,56.53
1712,88.55
1713,45.4
1714,74.21
1715,38.22
1716,26.48
1717,489.33
1718,32.21
1719,40.0
1720,35.11
1721,42.5
1722,259.05
1723,124.0
1724,386.62
1725,41.33
1726,535.73
1727,24.76
1728,339.44
1729,26.93
1730,35.11
1731,788.33
1732,377.4
1733,55.55
1734,738.33
1735,52.68
1736,476.5
1737,31.03
1738,1178.6
1739,33.31
1740,53.33
1741,63.94
1742,43.73
1743,24.25
1744,500.28
1745,29.46
1746,515.0
1747,34.0
1748,67.19
1749,59.25
1750,32.49
1751,76.32
1752,243.0
1753,624.25
1754,57.41
1755,111.36
1756,34.18
1757,435.0
1758,905.83
1759,31.82
1760,48.45
1761,75.0
1762,12.8
1763,139.7
1764,36.83
1765,68.33
1766,42.4
1767,45.16
1768,383.35
1769,1151.7
1770,40.0
1771,39.18
1772,54.5
1773,30.67
1774,58.03
1775,214.2
1776,343.23
1777,23.15
1778,213.34
1779,48.42
1780,37.56
1781,51.23
1782,328.0
1783,226.67
1784,47.09
1785,243.0
1786,40.35
1787,36.0
1788,33.29
1789,70.29
1790,43.0
1791,922.17
1792,103.33
1793,85.39
1794,194.4
1795,30.67
1796,33.31
1797,637.12
1798,522.4
1799,35.22
1800,61.07
1801,88.0
1802,49.32
1803,79.73
1804,643.33
1805,343.2
1806,492.87
1807,335.28
1808,37.46
1809,72.22
1810,308.58
1811,738.59
1812,66.85
1813,506.88
1814,26.07
1815,1204.79
1816,235.62
1817,424.6
1818,33.29
1819,106.67
1820,121.44
1821,60.0
1822,605.88
1823,200.0
1824,26.07
1825,32.49
1826,27.73
1827,988.33
1828,18.33
1829,99.89
1830,201.15
1831,32.89
1832,60.76
1833,190.48
1834,613.25
1835,704.88
1836,1126.21
1837,68.31
1838,42.18
1839,366.4
1840,302.13
1841,21.67
1842,101.78
1843,861.67
1844,266.67
1845,49.91
1846,33.39
1847,596.67
1848,459.51
1849,509.28
1850,92.94
1851,76.32
1852,247.62
1853,32.83
1854,16.0
1855,30.63
1856,79.73
1857,66.67
1858,45.4
1859,390.0
1860,60.56
1861,51.91
1862,27.72
1863,94.83
1864,308.97
1865,252.45
1866,61.78
1867,47.09
1868,875.6
1869,72.35
1870,403.0
1871,751.67
1872,92.8
1873,29.58
1874,30.9
1875,91.67
1876,68.13
1877,34.18
1878,42.24
1879,45.6
1880,375.0
1881,32.58
1882,1185.8
1883,47.95
1884,442.43
1885,233.93
1886,470.8
1887,146.29
1888,792.87
1889,521.76
1890,63.94
1891,348.0
1892,433.6
1893,32.09
1894,61.56
1895,377.67
1896,46.7
1897,341.6
1898,557.7
1899,77.22
1900,41.31
1901,707.16
1902,238.33
1903,448.33
1904,36.33
1905,71.67
1906,17.6
1907,61.67
1908,42.59
1909,44.8
1910,34.0
1911,46.13
1912,389.64
1913,583.0
1914,73.61
1915,52.89
1916,80.0
1917,51.93
1918,73.87
1919,57.74
1920,62.5
1921,870.83
1922,94.22
1923,28.33
1924,241.0
1925,466.8
1926,434.5
1927,28.46
1928,475.75
1929,54.44
1930,66.11
1931,85.0
1932,58.03
1933,24.5
1934,35.13
1935,30.67
1936,214.2
1937,38.92
1938,166.2
1939,74.45
1940,49.91
1941,30.63
1942,78.33
1943,40.08
1944,36.8
1945,438.9
1946,31.82
1947,642.0
1948,121.6
1949,335.5
1950,20.8
1951,29.72
1952,415.29
1953,388.96
1954,267.75
1955,24.0
1956,36.12
1957,32.17
1958,495.0
1959,39.2
1960,169.92
1961,449.68
1962,1016.58
1963,158.0
1964,34.0
1965,38.25
1966,42.5
1967,324.0
1968,51.15
1969,51.58
1970,359.6
1971,639.65
1972,1240.8
1973,582.87
1974,52.81
1975,658.8
1976,31.2
1977,715.0
1978,344.3
1979,63.44
1980,1329.9
1981,458.04
1982,33.15
1983,509.17
1984,778.67
1985,635.2
1986,360.01
1987,1237.5
1988,266.4
1989,672.54
1990,892.5
1991,35.39
1992,28.47
1993,724.0
1994,479.82
1995,37.28
1996,20.4
1997,247.2
1998,395.6
1999,35.33
2000,539.22
2001,247.62
2002,445.72
2003,32.21
2004,70.0
2005,61.07
2006,587.73
2007,64.38
2008,55.11
2009,31.82
2010,712.0
2011,40.0
2012,96.71
2013,462.87
2014,27.24
2015,400.18
2016,26.48
2017,553.44
2018,33.15
2019,73.16
2020,61.67
2021,259.42
2022,35.73
2023,37.56
2024,348.92
2025,710.0
2026,43.9
2027,47.54
2028,51.67
2029,820.6
2030,121.91
2031,67.02
2032,32.35
2033,70.0
2034,18.13
2035,601.08
2036,480.48
2037,250.8
2038,54.63
2039,57.76
2040,473.22
2041,320.01
2042,788.33
2043,42.5
2044,65.33
2045,1152.4
2046,1116.0
2047,34.9
2048,334.56
2049,371.58
2050,45.4
2051,477.7
2052,66.25
2053,18.0
2054,574.75
2055,324.27
2056,349.5
2057,98.0
2058,61.56
2059,440.64
2060,79.48
2061,68.13
2062,367.2
2063,136.0
2064,42.95
2065,85.39
2066,270.0
2067,484.0
2068,107.8
2069,54.26
2070,674.85
2071,72.0
2072,99.89
2073,392.7
2074,102.4
2075,24.76
2076,26.19
2077,266.67
2078,576.84
2079,55.4
2080,368.47
2081,297.5
2082,37.77
2083,988.9
2084,34.74
2085,51.58
2086,63.78
2087,63.44
2088,94.22
2089,204.0
2090,28.46
2091,38.33
2092,30.88
2093,68.13
2094,24.53
2095,38.74
2096,81.62
2097,29.67
2098,859.06
2099,475.83
2100,412.37
2101,349.17
2102,957.92
2103,647.0
2104,405.33
2105,791.67
2106,28.8
2107,660.01
2108,44.67
2109,33.33
2110,40.0
2111,514.3
2112,38.22
2113,700.0
2114,25.0
2115,225.83
2116,45.92
2117,601.33
2118,361.85
2119,338.45
2120,51.11
2121,39.1
2122,203.33
2123,47.09
2124,392.7
2125,32.61
2126,200.0
2127,28.46
2128,892.1
2129,740.08
2130,55.25
2131,341.0
2132,35.12
2133,60.85
